page,country,city,group_name,link,twitter
Asia,India,Bangalore,Bangalore R Users - BRU,https://groups.google.com/group/brumail,NA
Asia,India,Chennai,R Users Group Chennai,https://www.meetup.com/R-Users-Group-Chennai/,NA
Asia,India,Delhi,Delhi R Users Group Meetup,https://www.meetup.com/Delhi-R-Users-Group-Meetup/,NA
Asia,India,Hyderabad,R Users Group Hyderabad RUGH,https://www.meetup.com/R-Users-Group-Hyderabad/,NA
Asia,India,New Delhi,New Delhi UseR Group,https://www.meetup.com/New-Delhi-R-UseR-Group/,NA
Asia,India,Pune,Pune R User Group,https://www.meetup.com/Pune-R-junkies-Meetup/,NA
Asia,Macau,Macau,R-Research,http://groupspaces.com/R-research/,NA
Asia,Malaysia,Kuala Lumpur,myRUG,https://www.meetup.com/MY-RUserGroup/,NA
Asia,Pakistan,Lahore,Lahore R Users Group,https://lahorerug.wordpress.com/,NA
Asia,Philippines,Manila,R Users Group,https://www.meetup.com/R-Users-Group-Philippines/,NA
Asia,Singapore,Singapore,R User Group,https://www.meetup.com/R-User-Group-SG/,NA
Asia,South Korea,South Korea,R Korea - Korean R Study Group,https://www.facebook.com/groups/krstudy/,NA
Asia,South Korea,South Korea,R Korea - Korean R User Group,https://www.facebook.com/groups/KoreaRUsers/,NA
Asia,Taiwan,Taipei,Chinese Academy of R Software CARS,https://sites.google.com/site/zhonghuarruantixuehui/,NA
Asia,Taiwan,Taipei,Taiwan UseR Group,https://www.meetup.com/Taiwan-useR-Group/,NA
Asia,Thailand,Chang Mai,Chang Mai R User Group,https://www.facebook.com/Chiang-Mai-R-362933103793288/,NA
Asia,Viet Nam,Ha Noi,Ha Noi R Users Group Meetup,https://www.meetup.com/Ha-Noi-R-Users-Group-Meetup/,NA
Europe,Belgium,Brussels,RBelgium,https://www.meetup.com/RBelgium/,NA
Europe,Czech Republic ,Prague,R Meetup Group,https://www.meetup.com/Prague-R-Meetup-Group/,NA
Europe,Denmark,Aarhus,Rhus,https://www.meetup.com/Rhus-useR-group,NA
Europe,Denmark,Copenhagen,CopenhagenR,https://www.meetup.com/CopenhagenR-useR-Group/,NA
Europe,Finland,Helsinki,Finnish Society for Bioinformatics,http://www.bioinf.fi/,NA
Europe,Finland,Helsinki,R User Group Finland,https://www.meetup.com/R-User-Group-Finland/,NA
Europe,France,Brest,DataScience Brest,https://www.meetup.com/fr-FR/Data-Science-Brest/,NA
Europe,France,Lyon,RLyon,https://www.meetup.com/R-Lyon/,NA
Europe,France,Jouy-en-Josas,R4Ciam,http://ciam.inra.fr/r4ciam/,NA
Europe,France,Marseille,R user group Aix-Marseille,https://www.meetup.com/R-user-group-Aix-Marseille/,NA
Europe,France,Montpellier,Groupe des utilisateurs du logiciel R,http://forums.cirad.fr/logiciel-R/,NA
Europe,France,Nancy,Nancy Data Science,https://www.meetup.com/nancydatascience/,NA
Europe,France,Nantes,Meetup R Nantes,https://www.meetup.com/fr-FR/Meetup-R-Nantes/,NA
Europe,France,Paris,Semin-R,http://www.mnhn.fr/semin-r/,NA
Europe,France,Paris,R Addicts Paris,https://www.meetup.com/rparis/events/124508332/,NA
Europe,France,Strasbourg,StatsRbourg,https://www.meetup.com/StatsRbourg/,NA
Europe,France,Grenoble,R in Grenoble,https://r-in-grenoble.github.io/,NA
Europe,Germany ,Dresden,R User Group Dresden,http://rusersdresden.wordpress.com/,NA
Europe,Germany ,Hamburg,Hamburg R User Group,https://www.meetup.com/Hamburg-R-User-Group/,NA
Europe,Germany ,Hannover,Hannover R User Group,https://www.meetup.com/de-DE/Hannover-R-User-Group/,NA
Europe,Germany ,Kassel,Kasseler useR Group,https://www.meetup.com/Kassel-useR-Group/,NA
Europe,Germany ,Köln,Köln R User Group,https://www.meetup.com/KoelnRUG/,NA
Europe,Germany ,Leipzig,Leipzig R Statistical Computing,https://www.meetup.com/Leipzig-R-statistical-computing/,NA
Europe,Germany ,Mannheim/Ludwigshafen/Heidelberg,R User Group Rhein-Neckar,https://www.meetup.com/R-User-Group-Rhein-Neckar,NA
Europe,Germany ,Marburg,Marburg R Local User Group,http://www.r-marburg.de/,NA
Europe,Germany ,Munich,Applied R Munich,https://www.meetup.com/Applied-R-Munich,NA
Europe,Germany ,Nürnberg,NürnbergR,https://www.xing.com/net/ruser-nuernberg/,NA
Europe,Germany ,Osnabrück,Osnabrück R und Data Science,https://www.meetup.com/de-DE/Osnabrueck-R-und-Data-Science/,NA
Europe,Germany ,Stuttgart,R-Group Stuttgart,https://r-group-stuttgart.github.io/,r_stuttgart 
Europe,Germany ,Wiesbaden,Wiesbaden R Users Group,https://www.meetup.com/Wiesbaden-R-Users-Group,NA
Europe,Greece,Athens,AthensR,https://www.meetup.com/AthensR/,NA
Europe,Hungary,Budapest,BURN,https://www.meetup.com/Budapest-Users-of-R-Network,NA
Europe,Ireland,Cork,Cork R-Uses Group,https://www.meetup.com/Cork-Ireland-R-Users-Group/,NA
Europe,Ireland,Dublin,Dublin-R,https://www.meetup.com/DublinR/,NA
Europe,Italy,Milan,MilanoR,http://www.milanor.net/,NA
Europe,Italy,Napoli,NapoliR User Group,https://www.meetup.com/Napoli-R-User-Group/,NA
Europe,Italy,Padua,Italy-RUG Rante,https://groups.google.com/group/rante,NA
Europe,Italy,Torino,Torino R net,http://torinor.net/,NA
Europe,Luxembourg,Luxembourg,LuxR,https://www.meetup.com/LuxRgroup/,NA
Europe,Netherlands,Amsterdam,amst-R-dam,https://www.meetup.com/amst-R-dam/,NA
Europe,Netherlands,Enschede,Twente R User Group,http://twenterug.wordpress.com/,NA
Europe,Netherlands,Groningen,R User Group Groningen,http://richelbilderbeek.nl/RuserGroupGroningen.htm,NA
Europe,Netherlands,Nijmegen,Nijmegen everRybody,https://www.meetup.com/Nijmegen-eveRybody/,NA
Europe,Poland,Warsaw,SER - Warsaw R Users Group,https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/,NA
Europe,Poland,Poznań,Poznań R Users,https://www.meetup.com/Poznan-R-User-Group-PAZUR/,NA
Europe,Poland,TriCity,Trójmiejska Grupa Entuzjastów R,https://www.meetup.com/Trojmiejska-Grupa-Entuzjastow-R/,NA
Europe,Poland,Wrocław,STWUR - Wroclaw R Users Group,https://www.meetup.com/Wroclaw-R-Users-Group/,NA
Europe,Romania,Bucharest,R-omania Team,http://www.r-project.ro/our_team.html,NA
Europe,Russia,Kazan,R Kazan,https://www.meetup.com/R-Kazan/,NA
Europe,Russia,Moscow,rMoscow,https://www.meetup.com/rMoscow/,NA
Europe,Serbia,Belgrade,BelgradeR,https://www.meetup.com/BelgradeR/,NA
Europe,Slovenia,Ljubljana,Rcoholics,https://groups.google.com/group/rkoholikiAnonymous,NA
Europe,Spain,Barcelona,RUGBCN,http://rugbcn.wordpress.com/,NA
Europe,Spain,Madrid,Grupo de Interés Local de Madrid,http://madrid.r-es.org/,NA
Europe,Spain,Madrid,R Hispano,http://r-es.org/,NA
Europe,Spain,Sevilla,R users,https://sevillarusers.wordpress.com/,_SevillaR
Europe,Spain,Valencia,R users,https://valenciarusers.wordpress.com/,NA
Europe,Sweden,Stockholm,StockholmR,https://www.meetup.com/StockholmR/,NA
Europe,Switzerland,Basel,BaselR,http://www.baselr.org/,NA
Europe,Switzerland,Geneva,GenevaR,http://www.geneva-r.org/,NA
Europe,Switzerland,Zurich,Zurich R,https://www.meetup.com/Zurich-R-User-Group/,NA
Europe,UK,Birmingham,Birmingham R User Group,https://www.meetup.com/BirminghamR/,BirminghamR
Europe,UK,Canterbury,CanterburyR,https://www.meetup.com/Canterbury-R-Users-Group,NA
Europe,UK,Cambridge,CambR,http://www.cambr.org.uk/,NA
Europe,UK,Coventry,Warwick R User Group,http://warwick.ac.uk/wrug,WarwickRUG
Europe,UK,Exeter,Exeter,https://www.meetup.com/Exeter-R-Users-Group-Exeter-Devon-England/,NA
Europe,UK,London,LondonR,https://www.meetup.com/LondonR/,NA
Europe,UK,Manchester,ManchesterR,http://www.rmanchester.org/,NA
Europe,UK,Newcastle,R North East,https://rnortheast.github.io/,RstatsNE
Europe,UK,Nottingham,Nottingham,https://www.meetup.com/NottinghamR-Nottingham-R-Users-Group/,NA
Europe,UK,Oxford,R user group Oxford,https://r-oxford.github.io/,rusersoxford
Europe,UK,Sheffield,SheffieldR,https://www.meetup.com/SheffieldR-Sheffield-R-Users-Group/,Sheffield_R_
Europe,UK,Belfast,Belfast R Users,http://brusers.tumblr.com/,BelfastRUsers
Europe,UK,Edinburgh,Edinbr,http://edinbr.org,edinb_r
Europe,UK,Inverness,InveRness,https://www.facebook.com/InveRness-R-User-Group-195100587522377/,InvernessRug
Europe,UK,Cardiff,Cardiff,https://www.meetup.com/Cardiff-R-User-Group/,NA
Europe,UK,Swansea,Swansea,https://sites.google.com/site/swanseauniversityrusergroup/home,NA
Europe,Turkey,Ankara,Turkish Community,https://www.meetup.com/Turkish-Community-of-R/,NA
Middle East/ Africa,Egypt,Cairo,Cairo Bioinformatics Group,https://www.meetup.com/Cairo-Bioinformatics-Group/,NA
Middle East/ Africa,Egypt,Cairo,Cairo R Users Group,https://www.meetup.com/Cairo-R-Users-Group/,NA
Middle East/ Africa,Ghana,Accra,Accra R Users Group,https://www.meetup.com/Accra-R-Users-Group/,NA
Middle East/ Africa,Israel,Tel Aviv,Israel R User Group,https://groups.google.com/group/israel-r-user-group,NA
Middle East/ Africa,Kenya,Nairobi,R Users Group Kenya RUGK,https://www.meetup.com/Nairobi-R-Users-Group/,NA
Middle East/ Africa,Morocco,Casablanca,Casablanca R Users Group,https://www.meetup.com/Casablanca-R-Users-Group/,NA
Middle East/ Africa,Nigeria,Lagos,Lagos R Users Group,https://www.meetup.com/Lagos-R-Users-Group/,NA
Middle East/ Africa,Nigeria,Offa,Offa R Users Group,https://www.meetup.com/FEDPOFA-R-Users-Group/,NA
Middle East/ Africa,Qatar,Doha,Doha R User Group,https://www.meetup.com/doha-rug,NA
Middle East/ Africa,Saudi Arabia,Riyadh,Riyadh,https://riyadhusergroup.wordpress.com/,NA
Middle East/ Africa,Senegal,Dakar,DRUG,https://www.meetup.com/DakaR-R-User-Group/,NA
Middle East/ Africa,South Africa,Cape Town,Cape R Users Group,https://caperuser.wordpress.com/,CapeRUser
Middle East/ Africa,South Africa,Durban,Durban R Users Group,https://www.meetup.com/Durban-R-Users-Group/,NA
Middle East/ Africa,Tanzania,Dar es Salaam,Dar es Salaam R Users Group,https://www.meetup.com/DarEs-Salaam-R-users/,NA
Middle East/ Africa,Uganda,Kampala,Kampala R Users Group,https://www.meetup.com/Kampala-R-Users-Group/,NA
North America,Canada ,Edmonton,Edmonton R User Group,https://alberta.collegiatelink.net/organization/erug,NA
North America,Canada ,Montréal,Montreal R User Group,https://www.meetup.com/Montreal-R-User-Group/,NA
North America,Canada ,Ottawa,Ottawa Gatineau R Users Group,https://stat.ethz.ch/mailman/listinfo/r-ug-ottawa,NA
North America,Canada ,Québec,Plein-R,http://www.coactivate.org/projects/plein-r/project-home,NA
North America,Canada ,Vancouver,Vancouver R Users Group,https://www.meetup.com/Vancouver-R-Users-Group-data-analysis-statistics/,NA
North America,Mexico,Guadalajara,Guadalajara R Users group Meetup,https://www.meetup.com/Guadalajara-R-Users-Group-Meetup/,NA
North America,Mexico,Mexico City,Mexico City Business Analytics Users Group,https://www.meetup.com/Mexico-City-Business-Analytics-Users/events/219135766/,NA
North America,Mexico,Mexico City,The Mexico City R Users Group,https://www.meetup.com/The-Mexico-City-R-Users-Group/,NA
North America,Mexico,Tecate,ecate BC Mexico R Users Group Meetup,https://www.meetup.com/Tecate-BC-Mexico-R-Users-Group-Meetup/,NA
North America,United States of America,Birmingham,BiRmingham R Meetup,https://www.meetup.com/Bi-R-mingham-R-Meetup/,NA
North America,United States of America,Phoenix,Phoenix R Programmers,http://rphx.wordpress.com/,NA
North America,United States of America,Little Rock,Little Rock R User Group,https://www.meetup.com/Central-Arkansas-R-User-Group/,NA
North America,United States of America,Berkeley,The Berkeley R Language Beginner Study Group,https://www.meetup.com/r-enthusiasts/,NA
North America,United States of America,Chico,Chico R Users Group,https://www.meetup.com/Chico-R-Users-Group/,NA
North America,United States of America,Los Angeles,Los Angeles Area R Users Group,https://www.meetup.com/LAarea-R-usergroup/,NA
North America,United States of America,Orange County,OCRUG,https://www.meetup.com/OC-RUG,NA
North America,United States of America,San Diego,San Diego R Users Group,https://www.meetup.com/San-Diego-R-users-group,NA
North America,United States of America,San Francisco / Bay Area,BARUG,https://www.meetup.com/R-Users/,NA
North America,United States of America,Santa Barbara,Santa Barbara R Users,https://www.meetup.com/Santa-Barbara-R-Users-Group/events/107866752/,NA
North America,United States of America,Whittier,R Project for Statistical Computing Meetup,https://www.meetup.com/R-Project-for-Statistical-Computing-Meetup/,NA
North America,United States of America,Denver,Denver R User Group,https://www.meetup.com/DenverRUG/,NA
North America,United States of America,New Haven,Connecticut R Users Group,https://www.meetup.com/Conneticut-R-Users-Group/,NA
North America,United States of America,Washington,Statistical Programming DC,https://www.meetup.com/stats-prog-dc/,NA
North America,United States of America,Tampa,Tampa R Users Group,https://www.meetup.com/Tampa-R-Users-Group/,UseRTampa
North America,United States of America,Honolulu,Honolulu R Users Group,https://www.meetup.com/Honolulu-R-Users-Group/,NA
North America,United States of America,Chicago,Chicago R Users Group,https://www.meetup.com/ChicagoRUG/,NA
North America,United States of America,Chicago,Chicago North West Suburbs R user group,https://www.meetup.com/Chicago-North-West-Suburbs-R-user-group/,NA
North America,United States of America,Evanston,Northwestern R User Group,https://northwestern-r-users.github.io/,NA
North America,United States of America,Indianapolis,Indy useR Group,https://www.meetup.com/Indy-useR-Group/,NA
North America,United States of America,Notre Dame,Michiana R Users Group,https://www.meetup.com/Chicago-North-West-Suburbs-R-user-group/,NA
North America,United States of America,Des Moines,Central Iowa R Users Group,https://www.meetup.com/Central-Iowa-R-User-Group/,NA
North America,United States of America,Kansas City,Kansas City R Users Group,http://groupspaces.com/KCRUsersGroup/,NA
North America,United States of America,New Orleans,Tulane University R Fans ,https://tulaneuniversityrfans.wordpress.com/,NA
North America,United States of America,Boston,Greater Boston useR Group,https://www.meetup.com/Boston-useR/,NA
North America,United States of America,Ann Arbor,Ann Arbor R User Group,https://www.meetup.com/Ann-Arbor-R-User-Group/,NA
North America,United States of America,Detroit,Detroit useR Group,https://www.meetup.com/Detroit-useR-Group-R-Programming-Language/,NA
North America,United States of America,Lansing,Lansing Area R Users Group,https://www.meetup.com/Lansing-Area-R-Users-Group/,NA
North America,United States of America,Minneapolis and St. Paul,Twin Cities R User Group,https://www.meetup.com/twincitiesrug/,NA
North America,United States of America,Kansas City,Kansas City R Users Group,https://www.meetup.com/Kansas-City-R-Users-Group/,NA
North America,United States of America,Saint Louis,Saint Louis R User Group,https://www.meetup.com/Saint-Louis-RUG/,NA
North America,United States of America,Bozeman,Bozeman Area R useR Group,https://www.meetup.com/bozeman-user-group-r-programming-language/,NA
North America,United States of America,Omaha,Omaha R Users,https://omahar.org/,NA
North America,United States of America,Las Vegas,Las Vegas R Users Group,https://www.meetup.com/Las-Vegas-R-Users-Group/,NA
North America,United States of America,Reno,Reno R Users,https://www.meetup.com/Reno-R-Users/,NA
North America,United States of America,Newark,NewJerseyR,http://newjerseyr.org/,NA
North America,United States of America,Trenton,TRU,https://www.meetup.com/TRUgroup/,NA
North America,United States of America,Albany,Albany R Users Group,https://www.meetup.com/Albany-R-Users-Group/,NA
North America,United States of America,New York,New York Open Statistical Programming Meetup,https://www.meetup.com/nyhackr/,NA
North America,United States of America,New York,New York R User Group,https://www.meetup.com/New-York-R-Users-Group/,NA
North America,United States of America,New York,Columbia R Statistical Programming Group,https://groups.google.com/group/columbiaR,NA
North America,United States of America,"New York, Rochester",Rochester R Users Group Meetup,https://www.meetup.com/Rochester-R-Users-Group-Meetup/,NA
North America,United States of America,Charlotte,Charlotte R Users Group,https://www.meetup.com/Charlotte-R-Users-Group/,NA
North America,United States of America,Raleigh-Durham,Raleigh-Durham-Chapel Hill R Users Group,https://www.meetup.com/Triangle-useR/,NA
North America,United States of America,Wilmington,Cape Fear R Users Group,https://www.meetup.com/Cape-Fear-R-Users-Group/,NA
North America,United States of America,Winston Salem,Winston-Salem R Users Group,https://www.meetup.com/Winston-Salem-R-Users-Group/files/,NA
North America,United States of America,Cincinnati/Dayton,CinDay RUG,https://www.meetup.com/CinDay-RUG/,NA
North America,United States of America,Cleveland,Cleveland UseR Group,https://www.meetup.com/Cleveland-useR-Group/,NA
North America,United States of America,Columbus,Columbus useR Group,https://www.meetup.com/Columbus-useR-Group/events/174539852/,NA
North America,United States of America,Portland,Portland R User Group,https://www.meetup.com/portland-r-user-group,NA
North America,United States of America,Eugene,Eugene R User Group,https://www.meetup.com/meetup-group-cwPiAlnB,EugeneRUsers
North America,United States of America,Pittsburgh,Pittsburgh useR Group,https://www.meetup.com/Pittsburgh-useR-Group/,NA
North America,United States of America,Providence,Narragansette Bay Area R Users,https://www.meetup.com/Narragansett-Bay-Area-R-Users/,NA
North America,United States of America,Kingsport,Tri-Cities R User Group,https://www.facebook.com/groups/658774270929644/,NA
North America,United States of America,Knoxville,KRUG,https://www.meetup.com/Knoxville-R-Users-Group,NA
North America,United States of America,"Memphis, TN",Memphis R Users Group,https://www.meetup.com/Memphis-R-Users-Group/,NA
North America,United States of America,"Nashville, TN",Nashville R user Group,https://www.meetup.com/Nashville-R-Users-Group/,NA
North America,United States of America,Austin,Austin R User Group,https://www.meetup.com/Austin-R-User-Group/,NA
North America,United States of America,Dallas,Dallas R Users Group,https://www.meetup.com/Dallas-R-Users-Group/,NA
North America,United States of America,Houston,Houston R Users Group,https://www.meetup.com/houstonr/,NA
North America,United States of America,Lubbock,LubbockR Users Group,https://www.meetup.com/lubbockR-Meetup/,NA
North America,United States of America,San Antonio,Alamo City R Users Group,https://www.meetup.com/Alamo-City-R-Users-Group/,NA
North America,United States of America,Burlington,Burlington R Users,https://www.meetup.com/Burlington-R-Users/members/,NA
North America,United States of America,Charlottesville,UVa R Users Group,https://www.meetup.com/UVa-R-Users-Group/,NA
North America,United States of America,Madison,Madison Area R Meetup,https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group/,NA
North America,United States of America,Madison,Madison Area R Users Group,https://groups.google.com/group/maduser,NA
North America,United States of America,Milwaukee,Milwaukee R Meetup,https://www.meetup.com/Milwaukee-R-Meetup/,NA
North America,United States of America,Salt Lake City,University of Utah R Users Group,https://sites.google.com/site/utahrug/,NA
North America,United States of America,Seattle,Seattle UseR Group,https://www.meetup.com/Seattle-useR/,NA
North America,United States of America,Spokane,Inland Northwest R user Group,http://inrug.github.io/,NA
Oceania,Australia,Adelaide,ARUG,https://www.meetup.com/Adelaide-R-Users/,NA
Oceania,Australia,Brisbane,BURGr,https://www.meetup.com/Brisbane-Users-of-R-Group-BURGr/,NA
Oceania,Australia,Canberra,CANRUG,https://www.meetup.com/Canberra-R-Users-Group/,NA
Oceania,Australia,Hobart,HRUG,https://www.meetup.com/Hobart-R-Users-Group/,NA
Oceania,Australia,Melbourne,MelbURN,https://www.meetup.com/MelbURN-Melbourne-Users-of-R-Network/,NA
Oceania,Australia,Perth,MURUG,https://murugperth.wordpress.com/,NA
Oceania,Australia,Perth,WARG,https://www.meetup.com/Western-Australia-R-Group-WARG/,NA
Oceania,Australia,Sydney,SURF,https://www.meetup.com/R-Users-Sydney/,NA
Oceania,New Zealand,Auckland,AKLRUG,https://www.meetup.com/Auckland-R-Users-Group-AKLRUG,NA
Oceania,New Zealand,Wellington,WRUG,https://www.meetup.com/Wellington-R-Users-Group-WRUG,NA
South America,Argentina,Argentina Buenos Ares,Grupo de Usarios de R Argentina,http://ar.i314.com.ar/,NA
South America,Brazil,Campinas,Campinas R Users Meetup,https://www.meetup.com/Campinas-R-Users-Meetup/,NA
South America,Brazil,Porto Alegre,RStat,https://www.meetup.com/UseRS_/,NA
South America,Brazil,São Paulo,São Paulo R Users Group,https://www.meetup.com/useR-SP/,NA
South America,Brazil,Virtual,R-br,http://leg.est.ufpr.br/doku.php/software:rbr,NA
South America,Chile,Santiago,Grupo de Usuarios de R en Chile,https://www.meetup.com/useRchile/,NA
South America,Colombia,Bogota,Bogotá R Users Group,https://www.meetup.com/it/Bogota-R-Users-Group/,NA
South America,Colombia,Cali,Cali R Users Group,https://www.meetup.com/R-Users-Group-Cali/,NA
South America,Costa Rica,Quesada,San Carlos R Users Group,https://www.meetup.com/San-Carlos-R-User-Group/,NA
South America,Ecuador   ,Quito,R Users Group - Ecuador,http://www.rusersgroup.com/,rusersgroup
South America,Nicaragua,Managua,Usuarios R Nicaragua,https://www.facebook.com/groups/usuariosrnicaragua/,NA
South America,Venezuela,Caracas,R-usersVEN,https://www.meetup.com/R-usersVEN,NA
